country,year,co2_kt,co2_per_gdp,cereal_yield,fdi_perc_gdp,elec_access_perc,ch4_ttl,n2o_ttl,urb_pop_growth_perc,pop_growth_perc,gdp,gni_per_cap,pop,urb_pop,agr_land,co2_per_cap
ETH,2000,3557.0,0.11135602049552208,1116.3,1.6335147213385355,12.7,44479.20996,24053.60402,4.235576849374426,2.95880518919236,8242349955.051107,120.0,67031867,9880497,30.662,0.05306431342573227
ETH,2001,4401.3,0.12442316874276703,1198.0,4.244759583093639,10.2196207046509,46572.66015,24901.08701,4.181949927534379,2.92127105923873,8231326016.47494,120.0,69018932,10302456,30.6054,0.06376945966072034
ETH,2002,4571.5,0.1253526594567597,1353.7,3.2480726995032017,11.8761577606201,52125.26283,28470.4428,4.204416353414039,2.93296991314103,7850809498.168027,120.0,71073215,10744849,30.497999999999998,0.06432099631344945
ETH,2003,5022.4,0.13803460266205525,1123.3,5.392122512523153,13.5311555862427,51027.18052,27259.0714,4.167915794759582,2.90590770385319,8623691300.040789,110.0,73168838,11202149,31.607000000000003,0.06864124314780017
ETH,2004,5334.2,0.12570943724301084,1162.6,5.380415798596247,15.1916208267212,51932.0232,28183.78059,4.131598839098531,2.87241402666675,10131187261.442078,130.0,75301026,11674671,29.3293277309701,0.0708383442212328
ETH,2005,5049.5,0.10318646291273975,1361.4,2.137800937295584,14.0,54109.40089,29580.03678,4.095892776152614,2.83962299391293,12401139453.973831,160.0,77469940,12162781,29.7634298818382,0.06518012018597148
ETH,2006,5404.8,0.09666743382395815,1563.3,3.568235274162409,18.5567531585693,57195.38536,31034.40935,4.086275739306789,2.82672932299161,15280861834.602404,180.0,79691050,12670080,30.319510141552737,0.06782191977643663
ETH,2007,5963.5,0.09317868009325658,1441.0,1.1264709251968568,20.2697849273682,62919.01733,34606.96072,4.207178147899724,2.85154384116412,19707616772.799637,220.0,81996185,13214505,31.079243939183492,0.07272899342816985
ETH,2008,6487.7,0.08977609595131303,1418.4,0.40099713413269156,22.0000438690186,65497.79681,35577.06748,5.2540017284809375,2.83863160180599,27066912635.222847,270.0,84357105,13927358,30.581221414957998,0.07690757050043384
ETH,2009,6534.5,0.08257878404124518,1647.1,0.6827293669344301,23.743688583374,68243.43628,37205.16285,5.197463800800122,2.80357593483215,32437389116.038006,330.0,86755585,14670369,30.998892907567782,0.07532079923154227
